reviewerID,asin,overall,unixReviewTime
994,45,1,982800000
222,49,1,997920000
110,42,1,1010880000
958,40,1,1030924800
1288,57,1,1038182400
77,42,1,1047945600
2974,50,1,1048982400
3446,61,1,1053129600
462,61,1,1057190400
2553,65,1,1059955200
2553,73,1,1068508800
3675,73,1,1070496000
1469,81,1,1070668800
2553,67,1,1073520000
77,82,1,1074211200
2553,81,1,1074729600
2553,83,1,1077062400
4548,80,1,1077148800
2553,52,1,1077667200
1607,80,1,1081728000
2900,83,1,1082764800
260,79,1,1082937600
958,44,1,1083715200
2553,62,1,1085356800
1882,89,1,1087344000
402,93,1,1087516800
400,67,1,1089244800
1426,67,1,1091404800
2553,109,1,1092268800
2553,95,1,1092873600
302,95,1,1093132800
110,217,1,1093478400
2364,83,1,1095206400
2553,80,1,1095724800
2553,130,1,1097020800
1528,130,1,1097107200
2465,115,1,1098489600
1475,59,1,1098748800
2553,135,1,1100476800
3155,67,1,1102464000
1128,99,1,1102982400
3539,116,1,1103155200
1908,137,1,1104192000
2428,150,1,1104364800
1965,115,1,1104624000
3187,97,1,1104624000
4788,135,1,1104624000
43,156,1,1105833600
2553,128,1,1106092800
2553,63,1,1106265600
822,121,1,1106611200
3187,93,1,1107043200
1739,144,1,1107216000
302,52,1,1107475200
302,94,1,1107475200
4714,122,1,1107561600
1739,121,1,1107648000
2593,128,1,1108252800
4156,128,1,1108598400
2593,121,1,1108771200
1528,145,1,1109548800
2009,93,1,1110326400
2606,134,1,1110672000
1824,137,1,1110844800
528,93,1,1111190400
272,151,1,1111708800
3873,139,1,1112659200
272,141,1,1112918400
1475,150,1,1113609600
1475,193,1,1114387200
3539,99,1,1115078400
996,173,1,1115164800
650,110,1,1115424000
1933,114,1,1115856000
2613,146,1,1116892800
2428,11750,1,1117670400
2553,220,1,1120521600
3675,118,1,1120608000
303,196,1,1121212800
325,159,1,1121299200
260,131,1,1121558400
4640,210,1,1122422400
1115,175,1,1122595200
4640,153,1,1122595200
4640,182,1,1122940800
4640,185,1,1123113600
3446,137,1,1123632000
2672,228,1,1123804800
1158,114,1,1124064000
2009,194,1,1124323200
268,74,1,1124496000
4913,202,1,1124668800
302,96,1,1125014400
2507,913,1,1125619200
1944,210,1,1125705600
4714,102,1,1126483200
3426,54,1,1126742400
113,193,1,1127174400
1740,130,1,1127433600
2138,201,1,1128816000
2138,193,1,1128988800
1970,102,1,1129075200
43,194,1,1129507200
3874,194,1,1129507200
956,137,1,1130112000
2641,248,1,1131062400
1061,237,1,1131408000
1629,224,1,1131494400
2138,197,1,1132012800
3871,128,1,1132185600
3909,117,1,1132185600
272,249,1,1132272000
2565,241,1,1132358400
3155,168,1,1132531200
2397,162,1,1133049600
1288,132,1,1133740800
2552,220,1,1133827200
248,229,1,1134000000
1063,137,1,1134950400
4111,185,1,1135036800
4640,254,1,1135123200
1028,262,1,1135209600
3877,123,1,1135555200
114,252,1,1135641600
1288,201,1,1136332800
1120,248,1,1136851200
2402,220,1,1137110400
114,197,1,1137196800
114,262,1,1137196800
43,263,1,1137628800
1528,121,1,1138320000
2070,198,1,1138320000
2791,269,1,1139011200
1528,190,1,1139270400
1528,172,1,1139356800
43,201,1,1139529600
2554,220,1,1140220800
1528,141,1,1140652800
